,raw_expect,raw_extracted,sim_score
71,38.70,38.70,100
72,10033603,10033603,100
73,HEPATITIS B SURFACE ANTIGEN (HBS),HEPATITIS B SURFACE ANTIGEN (HBS),100
74,1,1,100
75,28.70,28.70,100
76,10033647,10033647,100
77,HEPATITIS C ANTIBODY,HEPATITIS C ANTIBODY,100
78,1,1,100
79,50.20,50.20,100
80,11007650,11007650,100
81,VNTR ANALYSIS,VNTR ANALYSIS,100
82,1,1,100
83,297.80,297.80,100
84,1Z70213002,1Z70213002,100
85,ZIKA VIRUS PCR,ZIKA VIRUS PCR,100
86,150.00,150.00,100
87,22002309,22002309,100
88,HIV SCREEN~,HIV SCREEN~,100
89,37.80,37.80,100
90,70205046,70205046,100
91,HEPATITIS B CORE TOTAL AB,HEPATITIS B CORE TOTAL AB,100
92,53.90,53.90,100
93,70205050,70205050,100
94,CYTOMEGALOVIRUS IGG AB EIA,CYTOMEGALOVIRUS IGG AB EIA,100
95,41.10,41.10,100
96,70205065,70205065,100
97,HTLV I/II ANTIBODY,HTLV /II ANTIBODY,97
98,103.90,103.90,100
99,ABO,ABO,100
100,ABO AND RHO TYPING,ABO AND RHO TYPING,100
101,2,2,100
102,72.80,72.80,100
103,Subtotal Charges,Subtotal Charges,100
104,2296.51,2296.51,100
105,Total Charges Fayable,Total Charges Fayable,100
106,2296.51,2296.51,100
107, AMOUNT PAYABLE BEFORE TAX, AMOUNT PAYABLE BEFORE TAX,100
108,2296.51,"2296,51",86
109,ADD : 7% GST,ADD : 7% GST,100
110,160.77,160.77,100
111,AMOUNT PAYABLE AFTER TAX,AMOUNT PAYABLE AFTER TAX,100
112,2457.28,2457.28,100
113,RECEVED,RECEVED,100
114,NET AMOUNT PAYABLE,NET AMOUNT PAYABLE,100
115,2457.28,2457.28,100
116,2457.28,2457.28,100
117,2 8 NOV 2018,2 8 NOV 2018,100
118,PAYMENT,PAYMENT,100
119,0.00,0.00,100
120,AMOUNT DUE FROM,AMOUNT DUE FROM,100
121,2457.28,2457.28,100
122,You are serVed by ZAWIYAH BINTE ABUDULLAH **,You are serVed by ZAWIYAH BINTE ABUDULLAH **,100
123,Singapore General Hospital,Singapore General Hospital,100
124,"Outram Road, Singapore 169608 Tel:6222 3322","Outram Road, Singapore 169608 Tel:6222 3322",100
125,http://www.sgh.com.sg Reg No 198703907 Z,http://www.sgh.com.sg Reg No 198703907 Z,100
126,3008-23-005-A (OCT 2014),3008-23-005-A (OCT 2014),100
127,,AVG SIM SCORE,98.8
